q_length,base,chlamydomonas_balanced,human,merged,rice_balanced
59,-0.9204611715706666,-0.9124512836725752,-0.9095980573526224,-0.9145124392037639,-0.9241407224303478
60,-0.9142895325403515,-0.905185563784471,-0.9026453160331585,-0.906632884629289,-0.9160426995640591
61,-0.907425197103068,-0.8983748204367192,-0.8949734926198486,-0.8985485872921585,-0.9079646834825679
62,-0.899426863132976,-0.8915844368461806,-0.8864995488861146,-0.8911733247232265,-0.8998846047736991
63,-0.8902602298380736,-0.8825130149640342,-0.8800713492962638,-0.8824617932017409,-0.8927085548070551
64,-0.8842659353536102,-0.8756677843101154,-0.8729342267809747,-0.877977127219889,-0.8839351384508931
65,-0.8774052497150054,-0.8701204369816214,-0.8647688301647768,-0.8700582848693755,-0.8791526956203625
66,-0.8707045340656873,-0.8638054494999711,-0.8596726444622835,-0.864330671508727,-0.8714698511575446
67,-0.8639402163439189,-0.8582710118222706,-0.8543082832565738,-0.858535239122877,-0.8659390625009245
68,-0.8573506374942714,-0.8518311054384171,-0.8469161245208371,-0.8510887043735506,-0.8572165726252612
69,-0.8505501063425013,-0.8445751756254625,-0.8396795056352433,-0.8435803914466451,-0.8509772225184515
70,-0.8439870163599246,-0.8407063273910392,-0.8339895476988666,-0.8380506502842342,-0.8468418450573918
71,-0.8383482291242577,-0.834171489015952,-0.8282240630050438,-0.8325284190238085,-0.8407733510030607
72,-0.8324533282479804,-0.827282577052912,-0.8229828587359017,-0.8259196080974237,-0.8341792668365607
