model,q_length,seq_length,positions_scored,mean_score,mean_pll,total_score
rice_balanced,64,132,132,-6.712049927748239,-0.8839351384508931,-16833.821218792582
chlamydomonas_balanced,64,132,132,-6.910649731564573,-0.8756677843101154,-17331.90952676395
base,65,133,133,-6.83502397898481,-0.8774052497150054,-17272.105594894616
merged,65,133,133,-6.897441172377852,-0.8700582848693755,-17429.833842598833
human,65,133,133,-6.913203634982589,-0.8647688301647768,-17469.665585601004
rice_balanced,65,133,133,-6.753451287424687,-0.8791526956203625,-17065.971403322183
chlamydomonas_balanced,65,133,133,-6.951114909161502,-0.8701204369816214,-17565.467375451117
base,66,134,134,-6.872087402847845,-0.8707045340656873,-17496.334527650615
merged,66,134,134,-6.935609753196986,-0.864330671508727,-17658.062431639526
human,66,134,134,-6.946736152731676,-0.8596726444622835,-17686.390244854847
rice_balanced,66,134,134,-6.795647511609796,-0.8714698511575446,-17301.71856455854
chlamydomonas_balanced,66,134,134,-6.990899816797501,-0.8638054494999711,-17798.830933566438
base,67,135,135,-6.911347037738145,-0.8639402163439189,-17727.605151798343
merged,67,135,135,-6.971709466161439,-0.858535239122877,-17882.43478070409
human,67,135,135,-6.988224098362123,-0.8543082832565738,-17924.794812298845
rice_balanced,67,135,135,-6.835763429533999,-0.8659390625009245,-17533.733196754707
chlamydomonas_balanced,67,135,135,-7.027180551040145,-0.8582710118222706,-18024.71811341797
base,68,136,136,-6.951227813661145,-0.8573506374942714,-17961.9726705004
merged,68,136,136,-7.01380665140171,-0.8510887043735506,-18123.676387222018
human,68,136,136,-7.028866859785178,-0.8469161245208371,-18162.5919656849
rice_balanced,68,136,136,-6.871567190108834,-0.8572165726252612,-17756.129619241226
chlamydomonas_balanced,68,136,136,-7.06453623782808,-0.8518311054384171,-18254.76163854776
base,69,137,137,-6.979916913421446,-0.8505501063425013,-18168.723725636024
merged,69,137,137,-7.045434737348603,-0.8435803914466451,-18339.266621318413
human,69,137,137,-7.061592561816435,-0.8396795056352433,-18381.32543840818
rice_balanced,69,137,137,-6.908579196967775,-0.8509772225184515,-17983.031649707118
chlamydomonas_balanced,69,137,137,-7.093954308666233,-0.8445751756254625,-18465.563065458206
base,70,138,138,-7.019530373580436,-0.8439870163599246,-18405.208639527904
merged,70,138,138,-7.0830339169837275,-0.8380506502842342,-18571.714930331334
human,70,138,138,-7.0953869049736245,-0.8339895476988666,-18604.104464840842
rice_balanced,70,138,138,-6.943410154456389,-0.8468418450573918,-18205.621424984653
chlamydomonas_balanced,70,138,138,-7.136804503921363,-0.8407063273910392,-18712.701409281814
base,71,139,139,-7.057412183504489,-0.8383482291242577,-18638.625576635357
merged,71,139,139,-7.115478622611871,-0.8325284190238085,-18791.97904231795
human,71,139,139,-7.132801825018347,-0.8282240630050438,-18837.729619873455
rice_balanced,71,139,139,-6.980072347831037,-0.8407733510030607,-18434.371070621768
chlamydomonas_balanced,71,139,139,-7.171567742045821,-0.834171489015952,-18940.110406743013
base,72,140,140,-7.092418955580009,-0.8324533282479804,-18865.834421842825
merged,72,140,140,-7.153054321957166,-0.8259196080974237,-19027.12449640606
human,72,140,140,-7.170491316961081,-0.8229828587359017,-19073.506903116475
rice_balanced,72,140,140,-7.016925914207197,-0.8341792668365607,-18665.022931791143
chlamydomonas_balanced,72,140,140,-7.2079328738040065,-0.827282577052912,-19173.101444318658
